Athletics,Womens shot put
Athletics,Mens shot put
Athletics,Womens pole vault
Athletics,Mens 1500 metres
Canoe sprint,Womens K-1 200ÿm
Canoe sprint,Womens K-1 500ÿm
Canoeing,Womens slalom K-1
Cycling,Mens team sprint
Golf,Womens individual
Rowing,Mens single sculls
Rowing,Mens coxless pair
Rowing,Womens coxless pair
Rugby sevens,Womens tournament
Sailing,Mens 49er
Sailing,Laser
Sailing,Womens 470
Sailing,Womens 49erFX
Shooting,Womens trap
